Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/category,4,4,6,1036.5487774979556,4.662553023081273,2567.979565006681,3018.0,0.09380121712123628,0.09380121712123628,1600,1600,2600,2600,2600,2600,2600,2600,2600,2600,2600
,Aggregated,4,4,6,1036.5487774979556,4.662553023081273,2567.979565006681,3018.0,0.09380121712123628,0.09380121712123628,1600,1600,2600,2600,2600,2600,2600,2600,2600,2600,2600
