instance,observation_time,collection_time,cpu_usage,memory_usage,network_usage,wattage,num_processes,wattage_kepler,wattage_kepler_new,wattage_scaph,wattage_auxilary,temperture
sm-gpu,2026-01-26 08:16:54,2026-01-26 08:16:56,0.5460000000000463,0.14708818637636067,0.56624874,66.8,0,29.954199999943377,25.73280620000005,23.28075,3.6276879274160927,49
gisele,2026-01-26 08:16:54,2026-01-26 08:16:56,3.1269999999998817,0.20818451260128612,2.2873103122808325,135.2,0,37.27480000003707,25.622407499998577,53.743107,5.631641548877322,29.8
sm-gpu,2026-01-26 08:17:09,2026-01-26 08:17:11,0.9696000000000469,0.1619293626726651,0.6200721007508339,55.9,0,17.751700000092388,19.781670500000473,18.357929,1.308757063793986,48
gisele,2026-01-26 08:17:09,2026-01-26 08:17:11,3.4130000000003884,0.21681940571157987,2.423430238893331,98.9,0,20.47080000010319,26.200311400001716,26.77685,5.122233986632491,29.8
sm-gpu,2026-01-26 08:17:26,2026-01-26 08:17:28,1.3538000000000514,0.1726844461167385,0.4782377627,45.3,0,23.405099999904632,19.77540399999998,19.029487,1.712398511090292,48
gisele,2026-01-26 08:17:26,2026-01-26 08:17:28,3.205599999999677,0.23618444321322618,2.286928135908333,79.5,0,17.646399999898858,20.654842099999858,24.816144,8.847738984463565,29.8
sm-gpu,2026-01-26 08:17:41,2026-01-26 08:17:44,1.3033999999999688,0.20061861197452246,0.4719029825549996,49.4,0,17.65169999990612,19.781911599999876,22.098349,1.8094594423776806,48
gisele,2026-01-26 08:17:41,2026-01-26 08:17:44,2.7133999999999627,0.23722735631573133,2.5379161117640003,70.8,0,25.269700000016016,26.933634699999924,22.59085,4.494276369869268,29.8
