Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/category,53,44,59,215.28528512780608,30.677699018269777,1894.0372029319406,15647.056603773584,0.8874607777329976,0.736759890948149,59,86,130,180,280,1800,1900,1900,1900,1900,1900
GET,/product,4,3,90,198.00974577083252,56.94366409443319,548.1074220733717,39071.75,0.06697817190437717,0.050233628928282884,97,97,550,550,550,550,550,550,550,550,550
,Aggregated,57,47,60,214.0729665764395,30.677699018269777,1894.0372029319406,17290.894736842107,0.9544389496373747,0.7869935198764318,60,93,130,180,550,1800,1900,1900,1900,1900,1900
