instance,observation_time,collection_time,cpu_usage,memory_usage,network_usage,wattage,num_processes,wattage_kepler,wattage_kepler_new,wattage_scaph,wattage_auxilary,temperture
10.133.7.103:9100,2026-01-22 17:38:41,2026-01-22 17:38:42,0.11360000000000252,0.01972327083915615,0.04385778,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-22 17:38:41,2026-01-22 17:38:42,0.9174000000006586,0.15349474471547253,6.372923179999999,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-22 17:38:41,2026-01-22 17:38:42,0.3913999999998282,0.42545648499768496,3.9946889999999997,0,0,0,0,0,0,0
130.149.158.131:9100,2026-01-22 17:38:41,2026-01-22 17:38:42,0.17019999999976845,0.13042304643238545,2.0538972799999997,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-22 17:38:41,2026-01-22 17:38:42,3.125199999999966,0.20077827159217887,2.4129761424466647,0,0,0,0,0,0,39
130.149.158.150:9100,2026-01-22 17:38:41,2026-01-22 17:38:42,0.6771999999999944,0.14545109529503497,0.6566629958333331,0,0,0,0,0,0,49
elise.ise.tu-berlin.de:9100,2026-01-22 17:38:41,2026-01-22 17:38:42,0.5215999999970882,0,0.009195520000000002,0,0,0,,0,0,0
10.133.7.103:9100,2026-01-22 17:38:58,2026-01-22 17:39:00,0.14560000000000695,0.019843489900577604,0.10000533662583336,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-22 17:38:58,2026-01-22 17:39:00,0.8940000000021162,0.15371403982587672,6.1949023599999995,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-22 17:38:58,2026-01-22 17:39:00,0.3974000000000138,0.425813142038863,4.010769380000001,0,0,0,0,0,0,0
130.149.158.131:9100,2026-01-22 17:38:58,2026-01-22 17:39:00,0.15180000000039515,0.13037223548248122,2.0631898200000003,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-22 17:38:58,2026-01-22 17:39:00,4.063399999999938,0.21887498636004632,2.4794803306833315,0,0,0,0,0,0,29.8
130.149.158.150:9100,2026-01-22 17:38:58,2026-01-22 17:39:00,1.297799999999983,0.1641471911942175,0.8815011930188891,0,0,0,0,0,0,49
elise.ise.tu-berlin.de:9100,2026-01-22 17:38:58,2026-01-22 17:39:00,0.5198000000004049,0,0.00892928,0,0,0,,0,0,0
10.133.7.103:9100,2026-01-22 17:39:16,2026-01-22 17:39:17,0.13599999999999557,0.020008978804841537,0.09686162921708333,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-22 17:39:16,2026-01-22 17:39:17,0.912599999993318,0.1558541911441057,6.61868574,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-22 17:39:16,2026-01-22 17:39:17,0.39500000000029206,0.42637107702302746,4.0061699,0,0,0,0,0,0,0
130.149.158.131:9100,2026-01-22 17:39:16,2026-01-22 17:39:17,0.1533999999999798,0.13033862345867797,1.9940441599999996,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-22 17:39:16,2026-01-22 17:39:17,3.20059999999999,0.2380043157098224,2.6618987867479182,0,0,0,0,0,0,29.8
