Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/category,2,0,4400.0,4927.55810401286,4356.274068006314,5498.842140019406,66731.0,0.04388730510868441,0.0,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
,Aggregated,2,0,4400.0,4927.55810401286,4356.274068006314,5498.842140019406,66731.0,0.04388730510868441,0.0,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
