Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,2,0,3,3.7060784961795434,2.79640598455444,4.615751007804647,0.0,0.03259822386598074,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/category,57,0,23,24.021856034411478,16.75859501119703,94.15092901326716,115489.22807017544,0.9290493801804511,0.0,23,24,25,25,26,41,54,94,94,94,94
GET,/product,12,0,28,29.246603667464417,25.134825991699472,34.71114000421949,111189.25,0.19558934319588445,0.0,29,29,33,33,34,35,35,35,35,35,35
GET,/tools.descartes.teastore.webui/cart,2,0,811.9866530178115,902.916314516915,811.9866530178115,993.8459760160185,9579.0,0.03259822386598074,0.0,990,990,990,990,990,990,990,990,990,990,990
,Aggregated,73,0,24,48.40342224653721,2.79640598455444,993.8459760160185,108716.64383561644,1.189835171108297,0.0,24,25,26,27,33,54,810,990,990,990,990
