Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,32,29,4,2467.9007554223062,3.0935818795114756,29152.415877906606,0.0,0.013619870089503317,0.012343007268612382,4,1000,1000,1000,12000,15000,29000,29000,29000,29000,29000
POST,/cartAction | pay,9,7,5,3221.938696017282,3.5913230385631323,17549.259030958638,0.0,0.003830588462672808,0.0029793465820788507,5,1000,1000,9400,18000,18000,18000,18000,18000,18000,18000
GET,/category,865,865,4,3340.149576157719,2.4230689741671085,65506.34951097891,93.82080924855491,0.36816211335688653,0.36816211335688653,4,5,1000,1000,14000,29000,32000,33000,66000,66000,66000
GET,/product,255,255,4,3501.149307606815,2.833660924807191,38417.08816983737,26.909803921568628,0.10853333977572956,0.10853333977572956,4,5,1000,3000,15000,29000,31000,34000,38000,38000,38000
GET,/tools.descartes.teastore.webui,44,44,5,6854.761211984706,2.636183053255081,65621.88055901788,0.0,0.01872732137306706,0.01872732137306706,5,7200,11000,16000,19000,25000,66000,66000,66000,66000,66000
GET,/tools.descartes.teastore.webui/cart,32,32,1000.0,2459.7115959913936,2.4658269248902798,15487.82329284586,0.0,0.013619870089503317,0.013619870089503317,1000,1000,1000,3000,14000,15000,15000,15000,15000,15000,15000
GET,/tools.descartes.teastore.webui/order,9,9,3000.0,5775.058473072325,2.94690509326756,15265.211164951324,0.0,0.003830588462672808,0.003830588462672808,3000,7200,10000,13000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,1246,1241,4,3468.9313963968993,2.4230689741671085,65621.88055901788,70.63964686998395,0.5303236916100355,0.5281955869085505,4,5,1000,3000,15000,29000,32000,33000,66000,66000,66000
