Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,1,0,4.971922986442223,4.971922986442223,4.971922986442223,4.971922986442223,0.0,0.01665782497076871,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/category,55,1,51,190.2081950911617,22.493750002468005,5317.609889985761,116431.61818181818,0.916180373392279,0.01665782497076871,51,100,170,190,230,310,400,5300,5300,5300,5300
GET,/product,8,0,65,89.31538561955676,58.701836998807266,240.35698498482816,96253.75,0.13326259976614968,0.0,75,76,79,79,240,240,240,240,240,240,240
GET,/tools.descartes.teastore.webui/cart,1,0,776.4674779900815,776.4674779900815,776.4674779900815,776.4674779900815,9579.0,0.01665782497076871,0.0,780,780,780,780,780,780,780,780,780,780,780
,Aggregated,65,1,54,183.96020332225956,4.971922986442223,5317.609889985761,110513.04615384615,1.082758623099966,0.01665782497076871,54,92,160,190,230,310,780,5300,5300,5300,5300
